#,Data,Área,Indicador,Valor atual,Meta,Status,Impacto,Comentário,Ação pendente,Prazo
1,May/2026,T.I.,Uptime crítico,3207.9,2704.2,Amarelo,Baixo,,Renegociar contrato com fornecedor principal,18/08/2026
2,Jan/2026,comercial,Volume de vendas,1687.9,1724.3,VERMELHO,crít.,diretoria quer entender causa raiz,Reunião com fornecedor de planejamento,
3,2026-04-16,operacoes,Taxa de entrega no prazo,1634.3,1336.8,Verde,Baixo,regulatório pode mudar em Q4,,08/2026
4,2026-02-17,Recursos Humanos,Tempo médio de contratação,1737.9,2042.7,Em análise,Médio,concorrência opera com número melhor,Revisar processo de aprovação com Financeiro,05-09
5,mês 04/26,MKT,Alcance orgânico,2230.3,2717.3,crítico,Médio,depende de decisão da matriz,Reunião com fornecedor de sistema,Q10 26
6,03/06/2026,sup.,Concentração de fornecedor,1131.0,1182.2,Crítico,crít.,sinal fraco de reversão desde a última medição,Contratar consultoria externa pra diagnóstico,03/08/2026
7,Feb/2026,IT,Aderência SLA,2597.3,2310.6,Em análise,Crítico,cliente já sinalizou insatisfação sobre isso,Automatizar coleta do dado,Q07 26
8,May/2026,Tecnologia da Informação,Aderência SLA,4803.5,6197.1,VERMELHO,crít.,concorrência opera com número melhor,Rodar piloto de 30 dias em 1 filial,06/10/2026
9,mês 04/26,OPS,Refugo (%),3023.3,2467.9,Amarelo,ALTO,melhorou nos últimos 2 meses,Investir em capacitação da equipe,08/2026
10,Mar/2026,IT,Uptime crítico,4403.0,4374.7,ok,,métrica não normalizada — comparação difícil,,17-07
11,17/04/2026,Gestão de Pessoas,eNPS,2834.4,2931.4,Em análise,BAIXO,vinculado a projeto estratégico em curso,Definir donos por indicador,Q07 26
12,mês 07/26,IT,Cobertura de backup,1927.2,1823.2,Alerta,Baixo,risco de exposição em relatório trimestral,Automatizar coleta do dado,Q07 26
13,mês 03/26,Marketing,Leads qualificados,713.3,719.2,OK,ALTO,área quer discutir a meta em revisão,,Q08 26
14,2026-03-13,TI,Uptime crítico,1441.7,1599.7,em analise,Crítico,envolve 3 áreas — precisa dono claro,Investir em capacitação da equipe,Q06 26
15,mês 04/26,Pessoas,Índice de acidentes,465.6,569.0,Amarelo,,aparece nas últimas 3 reuniões de comitê,,29/09/2026
16,25/01/2026,RH,Tempo médio de contratação,3964.7,3805.9,ok,crít.,compromisso assumido pela diretoria em Q3,Rodar piloto de 30 dias em 1 filial,
17,Apr/2026,operacoes,OEE,1819.1,1884.1,VERMELHO,Crítico,gerente anterior deixou sem tratamento,Trazer dado externo pra benchmark,29-07
18,May/2026,OPS,Refugo (%),1080.5,798.1,Em atenção,Alto,concorrência opera com número melhor,Reunião com fornecedor de orçamento,
19,Jun/2026,Mkt,Leads qualificados,3801.7,3588.7,em analise,,depende de decisão da matriz,,04/11/2026
20,Jun/2026,comercial,Volume de vendas,372.5,421.8,ok,Médio,sinal fraco de reversão desde a última medição,Propor revisão do escopo do projeto,Q09 26
21,08/03/2026,Recursos Humanos,eNPS,1413.6,1382.5,AMARELO,medio,envolve 3 áreas — precisa dono claro,Redefinir cadência de análise,Q06 26
22,mês 06/26,Comercial,Pipeline qualificado,1460.6,1822.7,ok,BAIXO,gerente anterior deixou sem tratamento,Contratar analista sênior pra área,10/2026
23,Feb/2026,Controladoria/Fin,Despesa administrativa,319.5,264.8,Alerta,,regulatório pode mudar em Q4,Preparar defesa da meta pro comitê,24/07/2026
24,Apr/2026,mkt digital,CAC digital,1535.0,1311.3,verde,ALTO,compromisso assumido pela diretoria em Q3,Propor plano de recuperação de 90 dias,07/2026
25,mês 03/26,r.h.,Absenteísmo,4265.5,5260.9,Crítico,ALTO,meta pode estar defasada em relação ao mercado,Redefinir cadência de análise,23-07
26,08/06/2026,Com,Volume de vendas,183.7,176.9,ok,Alto,pode virar oportunidade se estruturado,Renegociar contrato com fornecedor principal,09/2026
27,mês 03/26,FIN,Despesa administrativa,4944.0,6197.4,Crítico,Médio,,Escalar pro comitê de TI,
28,24/02/2026,Comercial,Pipeline qualificado,2427.1,2250.5,Em atenção,ALTO,diretoria quer entender causa raiz,Renegociar contrato com fornecedor principal,
29,mês 04/26,rh/pessoas,Cobertura de treinamento,4239.1,2978.4,atenção,BAIXO,métrica não normalizada — comparação difícil,Renegociar contrato com fornecedor principal,07/2026
30,2026-04-12,Financeiro,Despesa administrativa,4430.3,3179.0,VERMELHO,crít.,depende de decisão da matriz,Propor plano de recuperação de 90 dias,
31,Jun/2026,Fin,Prazo médio de pagamento,3796.0,4839.2,Verde,Alto,envolve 3 áreas — precisa dono claro,Propor plano de recuperação de 90 dias,03-09
32,2026-06-08,operações,Taxa de entrega no prazo,3166.7,2419.7,Em atenção,medio,meta pode estar defasada em relação ao mercado,Trazer dado externo pra benchmark,06/2026
33,mês 02/26,r.h.,Cobertura de treinamento,710.3,835.8,em analise,Médio,cliente já sinalizou insatisfação sobre isso,Definir donos por indicador,07/2026
34,Apr/2026,Financeiro,Custo por unidade,3197.9,4027.3,ok,Alto,,Investir em capacitação da equipe,01-11
35,22/02/2026,SC,OTIF,4776.9,4970.2,Vermelho,,auditoria externa questionou na última visita,Reunião com fornecedor de sistema,07/2026
36,2026-02-22,Finance,Fluxo de caixa mensal,2621.0,2672.2,ok,ALTO,auditoria externa questionou na última visita,Propor plano de recuperação de 90 dias,
37,Mar/2026,Operações,Refugo (%),4964.9,5485.7,Em atenção,Alto,pode virar oportunidade se estruturado,Renegociar contrato com fornecedor principal,02-10
38,2026-06-30,Fin,Margem operacional,691.4,715.9,Amarelo,medio,sinal fraco de reversão desde a última medição,Investir em capacitação da equipe,Q06 26
39,mês 04/26,SC,Redução de custo,1409.8,1802.7,Em atenção,BAIXO,aparece nas últimas 3 reuniões de comitê,Automatizar coleta do dado,
40,Apr/2026,OPS,Produtividade por linha,3663.0,3838.6,AMARELO,crít.,aguardando definição de budget,Trazer dado externo pra benchmark,Q06 26
